"Compliance Package Name (Mandatory, write the exact name of the compliance package where item you want to edit belongs to.)","Item ID (Mandatory, write the Item ID of item you want to edit.)","Compliance Strategy (Mandatory, can be one of the following numbers: 1 for Compliant, 2 for Not Applicable, 3 for Not Compliant)","Owner (Optional. Accepts multiple user logins or group names separated by ""|"" with a mandatory prefix. For example: Group-Admin|User-John). You can get the login of an user account from Settings / Organization & Access / Users or name of a group from Settings / Organization & Access / Groups.)","Efficacy (Optional, can be empty or one of the following numbers: 0 for 0%, 10 for 10%, 20 for 20%, 30 for 30%, 40 for 40%, 50 for 50%, 60 for 60%, 70 for 70%, 80 for 80%, 90 for 90%, 100 for 100%)","Description (Optional, describe item.)","Findings (Optional, accepts multiple names separated by ""|"". You need to enter the name of a finding, you can find them at Compliance Management / Compliance Analysis Findings.)","Internal Controls (Optional, accepts multiple names separated by ""|"". You need to enter the name of a control, you can find them at Controls Catalog / Internal Controls.)","Policies (Optional, accepts multiple names separated by ""|"". You need to enter the name of a policy, you can find them at Controls Catalog / Policies.)","Compliance Exception (Optional, accepts multiple names separated by ""|"". You need to enter the name of an exception, you can find them at Compliance Management / Compliance Exceptions.)","Projects (Optional, accepts multiple names separated by ""|"". You need to enter the name of a project, you can find them at Security Operations / Project Management.)","Asset Risks (Optional, accepts multiple names separated by ""|"". You need to enter the name of a risk, you can find them at Risk Management / Asset Risk Management.)","Third Party Risks (Optional, accepts multiple names separated by ""|"". You need to enter the name of a risk, you can find them at Risk Management / Third Party Risk Management.)","Business Risks (Optional, accepts multiple names separated by ""|"". You need to enter the name of a risk, you can find them at Risk Management / Business Impact Analysis.)","Liabilities (Optional, accepts single name. You need to enter the name of a liability, you can find them at Organization / Liabilities.)","Assets (Optional, accepts multiple names separated by ""|"". You need to enter the name of an asset, you can find them at Asset Management / Asset Identification.)"
"EU AI Act (2024)","AIA-01",3,"User-admin",0,"Not yet implemented as an operating process. The risk register is the foundation, but the iterative lifecycle process is not yet formalised as a running control.","","AIA-01 - Risk management system","","","","","","","",""
"EU AI Act (2024)","AIA-02",3,"User-admin",0,"Not yet implemented. Subgroup bias and data-quality analysis is planned but not yet run against real or representative data.","","AIA-02 - Data and data governance","","","","","","","",""
"EU AI Act (2024)","AIA-03",3,"User-admin",40,"Partially implemented. The system description document provides the basis for Annex IV technical documentation, but it is not yet complete or formally reviewed.","","AIA-03 - Technical documentation","","","","","","","",""
"EU AI Act (2024)","AIA-04",3,"User-admin",0,"Not yet implemented. CloudTrail and the per-decision record are designed but not yet built.","","AIA-04 - Record-keeping and logging","","","","","","","",""
"EU AI Act (2024)","AIA-05",3,"User-admin",0,"Not yet implemented. The patient-notice and deployer-instructions approach is decided but not yet deployed.","","AIA-05 - Transparency and information to deployers","","","","","","","",""
"EU AI Act (2024)","AIA-06",3,"User-admin",40,"Partially implemented. The human-oversight design (labelling, feature display, dismiss and reorder) is specified but not yet built or validated with clinician users.","","AIA-06 - Human oversight","","","","","","","",""
"EU AI Act (2024)","AIA-07",3,"User-admin",0,"Not yet implemented. Accuracy, robustness and cybersecurity metrics will be captured during the model build.","","AIA-07 - Accuracy, robustness and cybersecurity","","","","","","","",""
"EU AI Act (2024)","AIA-08",3,"User-admin",0,"Not yet implemented. No formal quality management system is operating yet for this AI system.","","AIA-08 - Quality management system","","","","","","","",""
"EU AI Act (2024)","AIA-09",3,"User-admin",0,"Not yet implemented. The system is pre-production, so there is no post-market data to monitor yet.","","AIA-09 - Post-market monitoring","","","","","","","",""
"EU AI Act (2024)","AIA-10",3,"User-admin",0,"Not yet implemented. Depends on resolving the outstanding MDR qualification question before the conformity route can be finalised.","","AIA-10 - Conformity assessment","","","","","","","",""
"EU AI Act (2024)","AIA-11",3,"User-admin",0,"Not yet implemented. Registration is a pre-market-placement action, not applicable until the system is ready to go to market.","","AIA-11 - Registration and EU declaration of conformity","","","","","","","",""
"EU AI Act (2024)","AIA-12",3,"User-admin",0,"Not yet implemented. Deployer (partner clinic) instructions and agreements are not yet drafted.","","AIA-12 - Deployer obligations","","","","","","","",""
