"Chapter ID (Mandatory, define chapter ID.)","Chapter Name (Mandatory, define chapter name.)","Chapter Description (Optional, define chapter description.)","Item ID (Mandatory, define item ID.)","Item Name (Mandatory, define item name.)","Item Description (Mandatory, define item description.)","Item Additional Information (Mandatory, define item additional information.)"
"EUAI-1","Risk Management and Data Governance","Requirements covering the risk-management process and data governance for high-risk AI systems.","AIA-01","Risk management system","Art. 9. Establish and maintain a documented, iterative risk-management process across the AI system lifecycle.","Applies to: High-risk AI systems"
"EUAI-1","Risk Management and Data Governance","Requirements covering the risk-management process and data governance for high-risk AI systems.","AIA-02","Data and data governance","Art. 10. Training, validation and test data must be relevant, representative, and examined for bias.","Applies to: High-risk AI systems"
"EUAI-2","Documentation, Logging and Transparency","Requirements covering technical documentation, automatic logging, and transparency to deployers.","AIA-03","Technical documentation","Art. 11 and Annex IV. Maintain documentation sufficient to assess conformity.","Applies to: High-risk AI systems"
"EUAI-2","Documentation, Logging and Transparency","Requirements covering technical documentation, automatic logging, and transparency to deployers.","AIA-04","Record-keeping and logging","Art. 12. Automatic logging of events over the system's lifetime.","Applies to: High-risk AI systems"
"EUAI-2","Documentation, Logging and Transparency","Requirements covering technical documentation, automatic logging, and transparency to deployers.","AIA-05","Transparency and information to deployers","Art. 13. Provide instructions for use that let deployers understand and operate the system.","Applies to: High-risk AI systems"
"EUAI-3","Human Oversight and Technical Robustness","Requirements covering human oversight design and accuracy, robustness and cybersecurity.","AIA-06","Human oversight","Art. 14. Design the system so it enables effective oversight by natural persons.","Applies to: High-risk AI systems"
"EUAI-3","Human Oversight and Technical Robustness","Requirements covering human oversight design and accuracy, robustness and cybersecurity.","AIA-07","Accuracy, robustness and cybersecurity","Art. 15. Maintain appropriate accuracy metrics and resilience to errors, faults and adversarial use.","Applies to: High-risk AI systems"
"EUAI-4","Quality Management and Post-Market Monitoring","Requirements covering the provider's quality management system and post-market monitoring.","AIA-08","Quality management system","Art. 17. Operate a quality management system covering all provider obligations.","Applies to: High-risk AI systems"
"EUAI-4","Quality Management and Post-Market Monitoring","Requirements covering the provider's quality management system and post-market monitoring.","AIA-09","Post-market monitoring","Art. 72. Collect and review performance data after deployment.","Applies to: High-risk AI systems"
"EUAI-5","Conformity and Market Placement","Requirements covering conformity assessment, registration, and deployer obligations.","AIA-10","Conformity assessment","Art. 43. Carry out the applicable conformity assessment before placing the system on the market or into service.","Applies to: High-risk AI systems, pending the outstanding MDR qualification question"
"EUAI-5","Conformity and Market Placement","Requirements covering conformity assessment, registration, and deployer obligations.","AIA-11","Registration and EU declaration of conformity","Art. 49 and Art. 47. Register the system in the EU database and draw up the declaration of conformity and CE marking.","Applies to: High-risk AI systems"
"EUAI-5","Conformity and Market Placement","Requirements covering conformity assessment, registration, and deployer obligations.","AIA-12","Deployer obligations","Art. 26. Support partner clinics (deployers) to use the system per instructions, assign human oversight, and monitor its operation.","Applies to: High-risk AI systems"
