"Risk ID","Category","Risk","Threat / Source","Vulnerability / Condition","Affected Parties","Likelihood","Impact","Risk Score","Risk Band","Existing Controls","Treatment Decision","Owner","Status","Scoring Rationale"
"AR-01","Fairness","Model systematically under-scores an already under-served subgroup, so they get less proactive outreach","Historical care-access gaps encoded in the training data","CONFIRMED by the build: the model understates absolute risk for a disadvantaged subgroup by roughly nine times the gap seen elsewhere (14.8 points vs 1.6 points), even though ranking (AUC) and recall at a fixed threshold are balanced across groups. See 07-aws-model/model-notes.md.","Patients in that subgroup",4,4,16,"Critical","None effective yet in the deployed sense. Decision B (no demographic proxies as inputs; sensitive attributes held only for measurement) is implemented in the proof-of-concept build and is exactly what surfaced this finding; subgroup-aware calibration is not yet built.","Mitigate","ML","Open","L4: this is no longer a projected likelihood, it is a measured finding from the build. I4: a systematically under-served group landing in a lower risk tier than their true risk warrants, and therefore receiving less proactive outreach, is a serious equity and safety harm plus Art. 10 exposure. Score held at Critical because the finding confirms rather than reduces the concern; treatment is now concretely scoped (gap G-02)."
"AR-02","Data quality","Scores are unreliable because feature extracts are incomplete or stale","Partner-clinic EHR extract gaps","No input data-quality checks before scoring","Patients",4,3,12,"High","None.","Mitigate","Data team","Open","L4: EHR extract gaps are routine and there is no pre-scoring validation. I3: unreliable scores misdirect outreach, but a clinician still decides and no care is denied."
"AR-03","Automation bias","Clinicians defer to the ranked list and stop exercising independent judgement, so patients the model does not flag are neglected","Time pressure; the score is presented as authoritative","Oversight design not workflow-tested; recommendation-only framing not deployed","Patients not flagged by the model",4,4,16,"Critical","None effective yet. The 'decision support, not a clinical judgement' framing is decided (system description s7) but not built or tested with clinicians.","Mitigate","Product","Open","L4: automation bias in clinical decision support under time pressure is well evidenced. I4: patients who are not surfaced and then deteriorate represent missed care and potential serious harm."
"AR-04","Explainability","A clinician cannot sense-check a score and so cannot catch a wrong one","Tree ensemble; only the top features are shown","The explanation may be insufficient for the decision context","Patients",3,3,9,"Medium","Top-contributing-features display is designed (s5, s7), not built.","Mitigate","ML","Open","L3: whether top features plus a data link is enough to sense-check a score is untested. I3: a wrong score acted on misdirects outreach; bounded by the human decision and overlapping with AR-03."
"AR-05","Drift","Model performance decays as the population or coding practice changes and the decay is not noticed","No retraining trigger; no post-market monitoring","Art. 72 control (AIA-09) not implemented","Patients",4,3,12,"High","None. Retraining cadence is defined (s6) but no monitoring is in place to trigger it.","Mitigate","ML","Open","L4: drift is near certain over time for a clinical risk model. I3: prioritisation quality degrades gradually and could run undetected for months without monitoring."
"AR-06","Security","Feature data or scores for named patients are exposed","Misconfigured S3 or IAM on the meridian-ai footprint, as seen in the Cloud Risk Assessment lab","The lab's remediation patterns are not yet applied to this footprint","Patients",3,4,12,"High","None specific to this footprint. The Cloud Risk Assessment lab's controls and lessons are available to apply.","Mitigate","Platform and Security","Open","L3: a fresh build with the lab's lessons available, but the same account previously carried real misconfigurations. I4: exposure of health-related features and scores for identifiable patients is a confidential-data breach with GDPR and contractual consequences."
"AR-07","Transparency","Affected patients are unaware that an AI system influences their care prioritisation","Patient-notice control not yet deployed","Art. 13 transparency and GDPR Arts. 13 to 14 duties depend on deployment of the notice (AIA-05)","Patients",3,3,9,"Medium","Decision A made: patients are to be informed via the partner clinic's layered privacy notice. Not yet deployed.","Mitigate","Meridian AI governance","Open","L3: the notice is decided but not in place, so today patients are not told. I3: a transparency and lawful-processing failure with trust harm, but no direct physical harm."
"AR-08","Human oversight failure","The override and reorder path exists but is not usable under real clinical workload, so oversight is nominal","Oversight not workflow-tested with clinician users","Art. 14 control (AIA-06) only partial","Patients",3,4,12,"High","One-click dismiss and reorder is designed (s7), not validated in a real workflow.","Mitigate","Product","Open","L3: plausible that the override path is clunky under load; unknown until tested. I4: if oversight is theatre, clinicians cannot correct a wrong model output and patient harm follows. Overlaps AR-03; kept separate because the fix is workflow validation, not framing."
"AR-09","Supply chain","A defect or licence problem in the model container or a dependency affects scores or the right to operate","Third-party components not inventoried","Now identified: SageMaker built-in XGBoost 1.5-1 container (Apache 2.0), the only third-party component in the path. No formal licence review yet, but the inventory question itself is answered.","Patients",2,3,6,"Medium","Component identified during the build. No formal licence review or ongoing monitoring yet (part of AIA-08).","Mitigate","ML and Security","Open","L2: a defect or licence issue in a well-used AWS-maintained container is possible but not likely. I3: a dependency defect could distort scores; a licence issue is a legal and operational problem."
"AR-10","Model performance","Model overfitting and poor calibration reduce the reliability of the risk score for every patient, not just a subgroup","Training configuration (150 rounds, max depth 5) not regularised for a 1,600-row dataset; no calibration step; a random rather than time-based split masks drift risk","CONFIRMED by the build: train AUC ~1.0 vs test AUC 0.75; the model is under-confident in the bottom half of the score range and over-confident in the top decile. See 07-aws-model/model-notes.md.","All patients scored by MRRS",5,3,15,"High","None. Metrics were captured but no regularisation, calibration, or time-based split has been applied.","Mitigate","ML","Open","L5: this is a measured fact about the current build, not a projection. I3: a miscalibrated absolute score misdirects tier assignment across the whole population and compounds AR-01's subgroup gap, but a clinician still reviews before acting, so it is not a direct-harm event on its own."
