"Name (This field is mandatory.)","Description (This field is optional.)","Documentation URL (Optional, you can leave this field blank.)","Status (Mandatory, can be one of the following numbers: 2 for Design, 4 for Production)","Related Projects (Optional and accepts multiple names separated by ""|"". You need to enter the name of a project, you can find them at Security Operations / Project Management.)","Tags (Optional and accepts tags separated by ""|"". For example ""Critical|Approved"".)","GRC Contact (Mandatory. Accepts multiple user logins or group names separated by ""|"" with a mandatory prefix. For example: Group-Admin|User-John). You can get the login of an user account from Settings / Organization & Access / Users or name of a group from Settings / Organization & Access / Groups.)","Control Operator Contact (Mandatory. Accepts multiple user logins or group names separated by ""|"" with a mandatory prefix. For example: Group-Admin|User-John). You can get the login of an user account from Settings / Organization & Access / Users or name of a group from Settings / Organization & Access / Groups.)","Cost (OPEX) (Optional, leave it empty or insert a numerical value.)","Cost (CAPEX) (Optional, leave it empty or insert a numerical value.)","Resource Utilization (Optional, leave it empty or insert a numerical value.)","Related Policies (Optional, accepts multiple names separated by ""|"". You can get the name of a policy from Control Catalogue / Policy Management.)","Audit Owner (Mandatory in case you set audit dates. Accepts multiple user logins or group names separated by ""|"". For User login use prefix ""User-"" and for Group name use ""Group-"". For example ""User-admin|Group-Third Party Feedback|Group-Admin"". You can get the login of an user account from System / Settings / User Management or name of a group from System / Settings / Groups.)","Audit Evidence Owner (Mandatory in case you set audit dates. Accepts multiple user logins or group names separated by ""|"". For User login use prefix ""User-"" and for Group name use ""Group-"". For example ""User-admin|Group-Third Party Feedback|Group-Admin"". You can get the login of an user account from System / Settings / User Management or name of a group from System / Settings / Groups.)","Audit Methodology (Mandatory in case you set audit dates, you need to insert some text or NA if you are not interested in this feature.)","Audit Success Criteria (Mandatory in case you set audit dates, you need to insert some text or NA if you are not interested in this feature.)","Audit Date (Optional, you can insert date with the format DD-MM, bare in mind the delimiter is a ""-"", Accepts multiple values separated by ""|"". For example ""22-01|15-10"".)","Maintenance Owner (Mandatory in case you set maintenance dates. Accepts multiple user logins or group names separated by ""|"". For User login use prefix ""User-"" and for Group name use ""Group-"". For example ""User-admin|Group-Third Party Feedback|Group-Admin"". You can get the login of an user account from System / Settings / User Management or name of a group from System / Settings / Groups.)","Maintenance Task (Mandatory in case you set maintenance dates, you can set NA if you wont want to use this feature.)","Maintenance Date (Optional, you can insert date with the format DD-MM, bare in mind the delimiter is a ""-"", Accepts multiple values separated by ""|"". For example ""22-01|15-10"".)"
"AIA-01 - Risk management system","EU AI Act Art. 9. Establish and maintain a documented, iterative risk-management process across the AI system lifecycle. Feeds the AI risk register in this project.","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","","",""
"AIA-02 - Data and data governance","EU AI Act Art. 10. Training, validation and test data must be relevant, representative, and examined for bias. Subgroup analysis is planned per the system description.","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","User-admin","Re-run the subgroup bias and data-quality checks against the current training or production data.","11-12"
"AIA-03 - Technical documentation","EU AI Act Art. 11 and Annex IV. Maintain technical documentation sufficient to assess conformity. The system description document is the basis for this.","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","","",""
"AIA-04 - Record-keeping and logging","EU AI Act Art. 12. Automatic logging of events over the system's lifetime. Implemented via CloudTrail plus a per-decision record.","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","User-admin","Confirm CloudTrail and the per-decision log are recording completely and retained per policy.","11-12"
"AIA-05 - Transparency and information to deployers","EU AI Act Art. 13. Provide instructions for use that let deployers (partner clinics) understand and operate the system correctly.","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","","",""
"AIA-06 - Human oversight","EU AI Act Art. 14. Design the system so it enables effective oversight by natural persons (clinicians).","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","User-admin","Re-validate the human oversight workflow (labelling, feature display, dismiss and reorder) with clinician users.","11-12"
"AIA-07 - Accuracy, robustness and cybersecurity","EU AI Act Art. 15. Maintain appropriate accuracy metrics and resilience to errors, faults and adversarial use. Metrics captured during the model build.","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","User-admin","Recompute accuracy, robustness and security metrics against current data and the current threat landscape.","11-12"
"AIA-08 - Quality management system","EU AI Act Art. 17. Operate a quality management system covering all of the above obligations.","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","","",""
"AIA-09 - Post-market monitoring","EU AI Act Art. 72. Collect and review performance data after deployment.","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","User-admin","Review post-market performance data and confirm the retraining trigger thresholds are still appropriate.","11-12"
"AIA-10 - Conformity assessment","EU AI Act Art. 43. Carry out the applicable conformity assessment before placing the system on the market or into service. Procedure depends on the outstanding MDR qualification question.","",2,"","EU AI Act","User-admin","User-admin","","","","","User-admin","User-admin","Review implementation evidence against the control objective and the linked EU AI Act requirement. Interview the control operator and inspect artefacts in the AI Compliance Assessment project repository.","Evidence demonstrates the control operates as designed and the linked requirement is met, or a documented remediation plan with an owner and target date exists for any gap.","11-12","","",""
