"Gap ID","Related Control(s)","Related Risk(s)","Gap Description","Recommended Action","Effort","Owner","Priority Window","Residual Risk","Status"
"G-01","AIA-01, RMF-GV-1, RMF-MG-1","AR-01, AR-02, AR-03, AR-04, AR-05, AR-06, AR-07, AR-08, AR-09","No formal, recurring AI risk-management process is operating yet. The risk register exists but is not yet a governed, repeatable lifecycle activity with defined roles and cadence.","Formalise the risk-management process: name the AI governance owner, set a recurring review cadence aligned to the 6-month retraining cycle plus ad hoc triggers, and document how new risks are identified, scored and escalated.","M","Meridian AI governance","0-30 days","Brings the umbrella risk-management control to Implemented. Underlying risk levels still depend on the specific fixes in G-02 through G-08.","Open"
"G-02","AIA-02, RMF-MS-2","AR-01, AR-02","CONFIRMED by the build: the subgroup analysis ran and found the model understates absolute risk for a disadvantaged subgroup by roughly nine times the gap seen elsewhere, despite balanced ranking and recall. Input data-quality checks still not built.","Apply subgroup-aware calibration (e.g. separate Platt scaling per subgroup, or add the disadvantage signal to a compliant proxy feature reviewed for fairness) so absolute risk scores are not systematically low for this group, then add input data-quality validation before scoring, per system description s9.","M","ML and Data team","0-30 days","AR-01 to Medium (6), AR-02 to Low (4), matching the risk register's residual targets. Priority raised from 30-90 to 0-30 days now that the finding is confirmed, not projected.","Open"
"G-03","AIA-03, RMF-MP-1","","The system description document now covers all Annex IV content, including the build-dependent sections (metrics, limitations, library versions), but it has not been formally reviewed and approved.","Have the AI governance owner formally review and sign off the completed document.","S","Meridian AI governance","0-30 days","Closes a documentation gap and reduces the risk of a conformity assessment being delayed for missing paperwork.","Open"
"G-04","AIA-04, AIA-09","AR-05, AR-06","Per-decision logging and post-market performance monitoring are designed but not built, there is no live system to log or monitor yet.","Implement CloudTrail plus the per-decision record on the AWS build, and wire up drift monitoring with the defined retraining triggers (AUROC and subgroup-disparity thresholds).","M","Platform team and ML","30-90 days","AR-05 to Medium (6). Closes the evidentiary gap behind AR-06's security monitoring.","Open"
"G-05","AIA-05, AIA-12","AR-07","The patient-notice approach and deployer-instructions content are decided but not yet drafted into a real notice or deployer agreement.","Draft and publish the layered patient privacy notice at partner clinics, and finalise the deployer instructions and agreement covering AIA-12 responsibilities.","S","Meridian AI governance and Legal","0-30 days","AR-07 to Low (3).","Open"
"G-06","AIA-06","AR-03, AR-08","The human-oversight design (labelling, feature display, one-click dismiss and reorder) is specified but has never been tested with real clinician users under realistic workload.","Run a usability validation with clinician users, refine the workflow based on findings, and formalise the quarterly outreach-outcome review.","M","Product","30-90 days","AR-03 to Medium (9), AR-08 to Medium (6).","Open"
"G-07","AIA-07, RMF-MS-1","AR-04, AR-10","CONFIRMED by the build: accuracy metrics were captured (AUROC 0.75, AUPRC 0.55) and reveal the model overfits (train AUC ~1.0) and is poorly calibrated. Adversarial robustness and endpoint security testing have not been run. Explainability display not built.","Add regularisation and a calibration step (e.g. Platt scaling or isotonic regression), retrain with a time-based split, run adversarial robustness testing and a security review of the inference endpoint, and validate the top-features explanation with clinician testers.","L","ML and Security","30-90 days","AR-04 to Medium (6), AR-10 to Medium/Low once regularised and calibrated (residual target not yet formally set in the risk register, follow up at the next register review).","Open"
"G-08","AIA-08","AR-09","No formal quality management system operates yet, there is no document control, change-management, or third-party component inventory process.","Stand up a lightweight QMS: document control for the artefacts in this repository, a change-management process for model and data changes (per system description s10), and a component and licence inventory.","L","Meridian AI governance","90+ days","AR-09 to Low (2).","Open"
"G-09","AIA-10","","Whether MRRS is a medical device under the MDR is unresolved, so the correct conformity-assessment route cannot yet be finalised.","Obtain a formal MDR qualification opinion from regulatory counsel, then execute the applicable conformity-assessment procedure once the route is confirmed.","L","Meridian AI governance and Legal","90+ days","Resolves the largest open interpretive question in the classification. The outcome determines whether a notified body is required.","Open"
"G-10","AIA-11","","Registration in the EU database and the declaration of conformity cannot be completed until conformity assessment (G-09) is finished.","Once G-09 concludes, register the system in the EU database and draw up the declaration of conformity and CE marking.","S","Meridian AI governance","90+ days, blocked on G-09","Closes the final pre-market-placement obligation.","Open"
"G-11","ISO-42001-A","","The ISO/IEC 42001 overlay gap check has not been run. This is deliberate, it is sequenced after the EU AI Act and NIST AI RMF controls.","Once G-01 through G-08 are substantially implemented, run the ISO/IEC 42001 Annex A gap check to identify any remaining AI management system gaps.","M","Meridian AI governance","90+ days","Provides an independent cross-check that the primary frameworks' controls add up to a coherent AI management system.","Open"
