"Control ID","Source","Source Ref","Control Name","Control Objective","Applies If","Owner","Implementation Status","Evidence","Notes"
"AIA-01","EU AI Act","Art. 9","Risk management system","Establish and maintain a documented, iterative risk-management process across the lifecycle","High-risk","Meridian AI governance","Not started","","Feeds the AI risk register (04)"
"AIA-02","EU AI Act","Art. 10","Data and data governance","Training, validation and test data is relevant, representative, and examined for bias","High-risk","Data team","Partial","07-aws-model/evidence/","Subgroup bias assessment run (system description s9); found a real disparity (see AR-01, gap G-02). Examined, not yet mitigated."
"AIA-03","EU AI Act","Art. 11 + Annex IV","Technical documentation","Maintain documentation sufficient to assess conformity","High-risk","Meridian AI governance","Partial","01-ai-system-definition/","system-description.md is the basis"
"AIA-04","EU AI Act","Art. 12","Record-keeping and logging","Automatic logging of events over the system lifetime","High-risk","Platform team","Not started","","CloudTrail plus a per-decision record (system description s12)"
"AIA-05","EU AI Act","Art. 13","Transparency and information to deployers","Instructions for use that let deployers understand and operate the system","High-risk","Meridian AI governance","Not started","",""
"AIA-06","EU AI Act","Art. 14","Human oversight","Design enables effective oversight by natural persons","High-risk","Product","Partial","","system description s7"
"AIA-07","EU AI Act","Art. 15","Accuracy, robustness and cybersecurity","Appropriate accuracy metrics; resilience to errors and adversarial use","High-risk","ML and Security","Partial","07-aws-model/evidence/","Accuracy metrics captured (AUROC 0.75, AUPRC 0.55); found overfitting and calibration gaps (AR-10, gap G-07). Adversarial/robustness testing not yet run."
"AIA-08","EU AI Act","Art. 17","Quality management system","Provider operates a QMS covering the obligations above","High-risk","Meridian AI governance","Not started","",""
"AIA-09","EU AI Act","Art. 72","Post-market monitoring","Collect and review performance data after deployment","High-risk","Meridian AI governance","Not started","",""
"AIA-10","EU AI Act","Art. 43","Conformity assessment","Carry out the applicable conformity assessment before placing the system on the market or into service","High-risk","Meridian AI governance","Not started","","Procedure depends on the MDR question (see classification s3, s6)"
"AIA-11","EU AI Act","Art. 49 + Art. 47","Registration and EU declaration of conformity","Register the high-risk system in the EU database and draw up the declaration of conformity and CE marking","High-risk","Meridian AI governance","Not started","",""
"AIA-12","EU AI Act","Art. 26","Deployer obligations","Support partner clinics (deployers) to use the system per instructions, assign human oversight, and monitor operation","High-risk","Meridian AI governance","Not started","","Meridian is provider; clinics are deployers"
"RMF-GV-1","NIST AI RMF","GOVERN 1","Policies and accountability","AI risk-management policies, roles and accountability are in place","All","Meridian AI governance","Not started","",""
"RMF-MP-1","NIST AI RMF","MAP 1-5","Context and categorisation","Purpose, context, affected parties and impacts are documented","All","Meridian AI governance","Partial","01-ai-system-definition/",""
"RMF-MS-1","NIST AI RMF","MEASURE 2","Performance and trustworthiness metrics","Model is evaluated for validity, reliability, bias and explainability","All","ML","Partial","07-aws-model/evidence/","AUROC, AUPRC and calibration captured; explainability (feature-importance display) not yet built"
"RMF-MS-2","NIST AI RMF","MEASURE 2.11","Bias and fairness assessment","Subgroup performance is measured and disparities are analysed","All","ML","Partial","07-aws-model/evidence/metrics-summary.txt","Subgroup analysis run and a real disparity found (AR-01); mitigation (gap G-02) not yet implemented"
"RMF-MG-1","NIST AI RMF","MANAGE 1-4","Risk response and monitoring","Risks are prioritised, treated and monitored over time","All","Meridian AI governance","Not started","","Feeds the treatment plan (06)"
"ISO-42001-A","ISO/IEC 42001","Annex A (overlay)","AI management system controls","Overlay gap check only","Optional","Meridian AI governance","Not started","","Run after the AI Act and RMF pass"
